timestamp,segment_id,train_id,speed,acceleration,vibration_vertical,vibration_lateral,track_temperature,age_years,maintenance_score,curvature_degree,max_permitted_speed,risk_label
2026-01-01T00:00:00+00:00,SEG-003,T-100,119.873,0.405,0.953,0.326,40.0,33.84,0.269,1.392,130,2
2026-01-01T00:05:00+00:00,SEG-016,T-101,99.242,0.55,0.397,0.328,18.695,15.4,0.614,6.193,110,0
2026-01-01T00:10:00+00:00,SEG-005,T-102,91.753,-0.479,0.708,0.791,46.38,45.98,0.498,1.088,100,2
2026-01-01T00:15:00+00:00,SEG-023,T-103,101.783,1.426,0.962,0.557,48.225,20.49,0.365,0.023,100,2
2026-01-01T00:20:00+00:00,SEG-046,T-104,117.353,-1.964,0.211,0.02,30.389,11.75,0.467,6.781,130,0
2026-01-01T00:25:00+00:00,SEG-007,T-105,103.626,0.712,0.903,0.702,47.958,52.85,0.783,3.754,110,2
2026-01-01T00:30:00+00:00,SEG-018,T-106,62.468,-0.684,0.382,0.075,21.147,28.99,0.676,2.534,80,0
2026-01-01T00:35:00+00:00,SEG-004,T-107,44.716,0.034,0.126,0.232,42.301,15.89,0.68,5.666,60,0
2026-01-01T00:40:00+00:00,SEG-041,T-108,138.865,1.654,0.997,0.601,34.599,31.15,0.888,0.528,130,1
2026-01-01T00:45:00+00:00,SEG-045,T-109,114.629,-0.252,0.02,0.105,29.049,28.65,0.949,6.968,130,0
2026-01-01T00:50:00+00:00,SEG-009,T-110,58.124,-0.854,0.52,0.219,31.702,14.11,0.301,4.629,100,1
2026-01-01T00:55:00+00:00,SEG-043,T-111,95.476,0.695,0.302,0.02,25.05,12.48,0.605,1.496,110,0
2026-01-01T01:00:00+00:00,SEG-010,T-112,112.745,-0.482,0.945,0.677,38.437,55.89,0.883,2.661,110,2
2026-01-01T01:05:00+00:00,SEG-022,T-113,105.621,-0.677,0.648,0.76,41.575,44.95,0.642,1.868,100,1
2026-01-01T01:10:00+00:00,SEG-011,T-114,78.56,0.406,1.054,0.713,38.697,12.25,0.509,4.691,60,2
2026-01-01T01:15:00+00:00,SEG-020,T-115,101.037,-0.766,0.928,0.578,38.76,51.9,0.558,0.445,110,2
2026-01-01T01:20:00+00:00,SEG-018,T-116,90.308,1.108,0.823,0.561,37.294,28.99,0.676,2.534,80,1
2026-01-01T01:25:00+00:00,SEG-002,T-117,58.389,-0.165,0.339,0.164,36.583,7.48,0.558,0.209,80,0
2026-01-01T01:30:00+00:00,SEG-007,T-118,101.267,1.442,1.082,0.278,48.726,52.85,0.783,3.754,110,1
2026-01-01T01:35:00+00:00,SEG-013,T-119,75.666,-0.504,0.238,0.172,38.66,19.01,0.926,4.817,80,0
2026-01-01T01:40:00+00:00,SEG-047,T-120,111.607,1.105,0.744,0.34,48.122,5.84,0.479,0.351,110,1
2026-01-01T01:45:00+00:00,SEG-043,T-121,104.862,0.859,0.824,0.534,39.763,12.48,0.605,1.496,110,1
2026-01-01T01:50:00+00:00,SEG-026,T-122,54.436,-0.007,0.815,0.58,36.959,59.87,0.687,3.42,60,1
2026-01-01T01:55:00+00:00,SEG-037,T-123,54.398,0.929,0.846,0.649,40.538,51.43,0.839,1.333,60,1
2026-01-01T02:00:00+00:00,SEG-038,T-124,55.991,0.619,1.005,0.575,35.591,24.32,0.55,6.047,60,2
2026-01-01T02:05:00+00:00,SEG-048,T-125,105.755,-0.603,1.016,0.736,38.362,59.92,0.638,0.398,130,2
2026-01-01T02:10:00+00:00,SEG-049,T-126,74.211,1.231,1.119,0.676,43.475,55.63,0.3,0.476,80,2
2026-01-01T02:15:00+00:00,SEG-050,T-127,95.976,1.306,0.046,0.281,35.169,9.55,0.9,1.724,130,0
2026-01-01T02:20:00+00:00,SEG-032,T-128,70.069,1.175,0.435,0.397,24.564,29.6,0.628,0.847,80,1
2026-01-01T02:25:00+00:00,SEG-015,T-129,84.913,0.211,0.427,0.136,36.318,27.27,0.298,6.392,130,1
